month,mean_wind_speed,std_wind_speed,min_wind_speed,max_wind_speed,p10,p50,p90,mean_power_density,total_hours,top10_mean_wind_speed_m_s,top10_mean_power_density_W_m2,top10_number_of_hours,selected_latitude,selected_longitude
1,4.850928,1.3932915,1.3784175,7.4162273,2.7472095489501953,5.068634033203125,6.550973892211914,86.42422,648,,,,,
2,4.8485665,1.6868825,1.3061341,7.7067575,2.55720591545105,4.987505912780762,6.889354228973389,94.378876,120,,,,,
Annual,4.8505588,1.4418858,1.3061341,7.7067575,2.694420337677002,5.066336154937744,6.607895421981812,87.66714,768,6.916255950927734,203.45155334472656,77.0,13.0,77.5
